Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2023-01-03,47.225,50.0,46.3,48.25,1400
1.0,2023-01-04,57.5,142.5,53.025,87.5,280528
2.0,2023-01-05,72.5,79.7,67.125,73.5,19818
3.0,2023-01-06,75.85,107.5,65.2502,81.1,39432
4.0,2023-01-09,86.25,97.5,72.525,80.7,14430
5.0,2023-01-10,82.5,85.0,77.75,80.225,6344
6.0,2023-01-11,80.225,85.0,71.25,75.0,7302
7.0,2023-01-12,77.125,85.0,72.5,76.4,17978
8.0,2023-01-13,75.0,77.5,70.0,74.0,19954
9.0,2023-01-17,74.25,78.375,71.625,75.0,12894
10.0,2023-01-18,73.55,75.0,65.0,66.475,11616
11.0,2023-01-19,68.375,69.35,63.05,65.0,6664
12.0,2023-01-20,67.5,73.75,65.0,69.95,18552
13.0,2023-01-23,70.0,79.35,64.5,69.825,69942
14.0,2023-01-24,66.275,67.45,62.5,64.225,33714
15.0,2023-01-25,64.275,64.95,57.5,60.275,21450
16.0,2023-01-26,72.825,87.5,53.0,57.0,451702
17.0,2023-01-27,54.65,55.0,49.725,51.775,89910
18.0,2023-01-30,51.15,53.5,47.75,50.8,44698
19.0,2023-01-31,50.0,55.6,49.5,53.875,30232
20.0,2023-02-01,53.975,53.975,50.25,52.1,19390
21.0,2023-02-02,51.25,56.0,50.5,54.225,33794
22.0,2023-02-03,54.225,54.95,50.25,50.95,29328
23.0,2023-02-06,52.5,54.25,50.775,52.075,19806
24.0,2023-02-07,52.075,52.5,49.4753,50.4,17754
25.0,2023-02-08,51.225,51.95,48.375,48.5,14304
26.0,2023-02-09,55.2,57.5,47.95,48.65,129802
27.0,2023-02-10,47.5,47.5,43.75,44.8,31068
28.0,2023-02-13,45.2,51.7497,45.0,47.525,24772
29.0,2023-02-14,46.375,49.5,46.25,47.475,9456
30.0,2023-02-15,46.95,48.1,46.7,47.975,17746
31.0,2023-02-16,47.25,47.975,44.5,46.0,19570
32.0,2023-02-17,46.0,46.225,42.775,43.25,19520
33.0,2023-02-21,44.9,44.9,40.0,41.525,17074
34.0,2023-02-22,40.0,46.55,38.75,45.35,21534
35.0,2023-02-23,45.0,46.0,42.5,45.325,9960
36.0,2023-02-24,44.325,45.275,41.0,42.25,8972
37.0,2023-02-27,40.975,43.35,40.975,42.875,5088
38.0,2023-02-28,43.275,45.0,41.65,42.85,4368
39.0,2023-03-01,44.5,44.75,42.5,43.9,6790
40.0,2023-03-02,43.125,46.375,43.125,45.0,6860
41.0,2023-03-03,45.1,45.15,43.2,45.025,5386
42.0,2023-03-06,43.775,45.0,43.325,44.1,5312
43.0,2023-03-07,44.35,44.625,39.05,42.45,9864
44.0,2023-03-08,42.0,42.0,40.0,40.3,7298
45.0,2023-03-09,41.75,41.75,38.375,39.4,7708
46.0,2023-03-10,38.525,39.475,35.2752,36.25,9440
47.0,2023-03-13,37.475,37.55,35.0,36.8,7352
48.0,2023-03-14,36.775,40.0,34.5,35.075,7540
49.0,2023-03-15,34.025,35.025,30.05,31.225,11384
50.0,2023-03-16,30.0,31.25,25.25,26.75,34876
51.0,2023-03-17,26.5,27.275,21.4,24.5,30222
52.0,2023-03-20,24.175,26.325,23.75,24.675,8856
53.0,2023-03-21,24.65,29.75,24.65,27.375,38756
54.0,2023-03-22,26.85,26.85,23.8,24.6,14340
55.0,2023-03-23,24.35,26.75,22.85,24.175,21932
56.0,2023-03-24,23.75,25.5,21.25,22.525,30380
57.0,2023-03-27,23.0,23.775,21.75,22.3,15848
58.0,2023-03-28,22.275,22.5,20.275,20.575,14458
59.0,2023-03-29,21.25,22.0,20.45,21.725,15404
60.0,2023-03-30,22.5,24.25,20.8,21.1,36278
61.0,2023-03-31,21.0,21.75,19.55,20.8,30112
62.0,2023-04-03,20.75,20.75,13.775,14.275,95188
63.0,2023-04-04,16.0,16.0,11.0505,11.6,196808
64.0,2023-04-05,10.95,11.5,9.25,9.25,50174
65.0,2023-04-06,12.05,15.0,8.0395,11.8,2805244
66.0,2023-04-10,10.9,12.3,10.1505,11.8,170232
67.0,2023-04-11,11.9,12.25,10.55,11.5,130862
68.0,2023-04-12,11.7,12.15,10.975,11.45,32584
69.0,2023-04-13,11.25,12.5995,11.25,12.45,45008
70.0,2023-04-14,12.75,22.3,12.5005,15.55,601968
71.0,2023-04-17,16.0,16.4,14.05,14.75,83406
72.0,2023-04-18,13.75,13.75,12.5,13.25,55630
73.0,2023-04-19,13.15,13.85,11.65,13.8,43308
74.0,2023-04-20,13.5,15.75,13.175,14.95,81866
75.0,2023-04-21,14.4,14.6,12.5,12.85,44286
76.0,2023-04-24,12.7,13.271,12.05,12.25,30772
77.0,2023-04-25,12.05,12.6495,11.05,11.3,21172
78.0,2023-04-26,11.1,11.45,10.65,11.05,20254
79.0,2023-04-27,10.95,11.0,9.9,10.25,28736
80.0,2023-04-28,9.9,10.0,9.25,9.55,30944
81.0,2023-05-01,9.75,10.75,9.7,10.5,22648
82.0,2023-05-02,10.4,14.0,10.0645,13.6,171912
83.0,2023-05-03,11.95,12.45,11.0,11.3,43320
84.0,2023-05-04,11.7,11.85,10.8,11.0,17142
85.0,2023-05-05,11.05,12.0,10.75,11.3,23300
86.0,2023-05-08,11.55,11.95,11.1,11.35,10100
87.0,2023-05-09,11.7,11.75,10.5,10.6,17976
88.0,2023-05-10,10.5,11.2,10.1,10.35,16788
89.0,2023-05-11,10.65,10.7,10.05,10.15,11438
90.0,2023-05-12,10.4,10.43,9.5,10.0,11372
91.0,2023-05-15,10.0,10.2,9.7,10.05,7592
92.0,2023-05-16,9.8,10.275,9.7,10.0,5152
93.0,2023-05-17,11.3,12.2,8.9095,10.0,1258504
94.0,2023-05-18,9.2,9.9,9.05,9.5,70252
95.0,2023-05-19,9.1,9.5,9.0,9.2,33714
96.0,2023-05-22,9.25,10.1,9.2,9.75,44142
97.0,2023-05-23,9.8,9.9,9.25,9.45,17954
98.0,2023-05-24,9.35,9.375,9.075,9.2,8638
99.0,2023-05-25,10.25,10.5,8.6,9.4,203758
100.0,2023-05-26,9.4,9.6,9.05,9.5,17308
101.0,2023-05-30,9.65,9.65,9.25,9.5,15786
102.0,2023-05-31,9.5,9.6,8.75,8.9,11518
103.0,2023-06-01,8.95,9.25,8.8005,8.95,9206
104.0,2023-06-02,9.35,9.35,8.8,9.1,14428
105.0,2023-06-05,9.5,9.5,8.85,9.05,14242
106.0,2023-06-06,9.2,9.6,8.85,9.1,30424
107.0,2023-06-07,9.2,9.4,8.9,9.05,8672
108.0,2023-06-08,9.0,9.25,8.9,9.25,11582
109.0,2023-06-09,9.3,9.45,8.9,9.25,16146
110.0,2023-06-12,9.05,11.0,8.9,9.8,103550
111.0,2023-06-13,9.75,9.95,7.85,8.55,62762
112.0,2023-06-14,8.65,9.0,8.25,8.85,27088
113.0,2023-06-15,8.8,8.8,8.2,8.6,12164
